T_K,scenario,Ecalc,t_star_s,sigma_s
1190.0,"high make-up (F0/FCa=0.12, Xcarb=0.3)",0.9869696596210373,7.824272251768759,297.6190476190476
1190.5,"high make-up (F0/FCa=0.12, Xcarb=0.3)",0.9872625719801756,7.646875537828935,297.6190476190476
1191.0,"high make-up (F0/FCa=0.12, Xcarb=0.3)",0.9875460384438265,7.475266496806619,297.6190476190476
1191.5,"high make-up (F0/FCa=0.12, Xcarb=0.3)",0.987820479373494,7.309184159272846,297.6190476190476
1192.0,"high make-up (F0/FCa=0.12, Xcarb=0.3)",0.9880862908564896,7.14838283092437,297.6190476190476
1192.5,"high make-up (F0/FCa=0.12, Xcarb=0.3)",0.988343846429866,6.992630992994442,297.6190476190476
1193.0,"high make-up (F0/FCa=0.12, Xcarb=0.3)",0.9885934986596162,6.841710296280866,297.6190476190476
1193.5,"high make-up (F0/FCa=0.12, Xcarb=0.3)",0.988835580588934,6.69541463962333,297.6190476190476
1194.0,"high make-up (F0/FCa=0.12, Xcarb=0.3)",0.9890704070681992,6.5535493246736385,297.6190476190476
1194.5,"high make-up (F0/FCa=0.12, Xcarb=0.3)",0.9892982759776706,6.415930279689638,297.6190476190476
1195.0,"high make-up (F0/FCa=0.12, Xcarb=0.3)",0.9895194693529854,6.282383345865892,297.6190476190476
